prime_key,dataset_id,time,username,checkins,has_added_app,were_here_count,likes,talking_about_count,facebook_id,date_added,date_updated,entity_id,cusip,isin
1,53088,"2015-01-01 05:00:00+00",SodaStream,0,f,0,761533,587,54885616308,,"2017-02-14 03:35:13.236826+00",,,
2,52642,"2015-01-01 05:00:00+00",ANSYSInc,148,f,0,43442,1305,160242297413411,,"2017-02-14 01:55:52.78506+00",,,
3,53656,"2015-01-01 05:00:00+00",MyAquaAmerica,0,f,0,5591,297,591693544195818,,"2017-02-14 08:13:51.267343+00",,,
4,53033,"2015-01-01 05:00:00+00",Qualcomm,173,f,0,1232521,2685,108472637291,,"2017-02-14 03:24:04.363035+00",,,
5,52783,"2015-01-01 05:00:00+00",eaglepharmaceuticals,0,f,0,18,0,1428265940729350,,"2017-02-14 02:22:10.193588+00",,,
6,52663,"2015-01-01 05:00:00+00",BioDeliverySI,0,f,0,146,2,556448501134274,,"2017-02-14 01:58:42.588553+00",,,
7,53146,"2015-01-01 05:00:00+00",UMBBank,173,f,173,6549,58,211199048925162,,"2017-02-14 03:47:46.670674+00",,,
8,53078,"2015-01-01 05:00:00+00",Silicom,0,f,0,57,3,646561868711169,,"2017-02-14 03:33:23.076715+00",,,
9,53394,"2015-01-01 05:00:00+00",GSK,3248,f,0,134536,763,123311187737843,,"2017-02-14 05:36:41.099414+00",,,
10,52986,"2015-01-01 05:00:00+00",OfficeDepot,0,f,46288,899982,20778,61494007098,,"2017-02-14 03:14:46.060766+00",,,
11,52746,"2015-01-01 05:00:00+00",CTWtr,17,f,0,438,14,184665858241145,,"2017-02-14 02:13:51.563189+00",,,
12,53216,"2015-01-01 05:00:00+00",tdameritrade,0,f,0,173764,2609,323110354399964,,"2017-02-14 04:08:05.04726+00",,,
13,52880,"2015-01-01 05:00:00+00",imagesensingsys,2,f,2,44,1,258838584186336,,"2017-02-14 02:48:58.269663+00",,,
14,53309,"2015-01-01 05:00:00+00",OfficialCSX,0,f,0,138792,19378,117497734929829,,"2017-02-14 02:12:25.253753+00",,,
15,53254,"2015-01-01 05:00:00+00",BlackRock,0,f,0,3492,61,116455797815,,"2017-02-14 04:21:37.034625+00",,,
16,53503,"2015-01-01 05:00:00+00",GoPresto,0,f,0,1200,4,187580557931259,,"2017-02-14 06:58:17.287033+00",,,
17,52692,"2015-01-01 05:00:00+00",ChicopeeSavings,5,f,5,1085,66,186884128163522,,"2017-02-14 03:53:21.562903+00",,,
18,52737,"2015-01-01 05:00:00+00",csginternational,39,f,0,1153,16,218504274900036,,"2017-02-14 02:11:52.57515+00",,,
19,53416,"2015-01-01 05:00:00+00",HexcelCorp,3,f,0,784,47,447486668649814,,"2017-02-14 05:51:03.403037+00",,,
20,53502,"2015-01-01 05:00:00+00",servicenow,758,f,758,4570,184,70876467572,,"2017-02-14 06:57:57.472526+00",,,
21,52969,"2015-01-01 05:00:00+00",NeptuneKrillOil,0,f,0,5637,1016,136408293040344,,"2017-02-14 03:10:28.551035+00",,,
22,53612,"2015-01-01 05:00:00+00",tripointehomes,21,f,21,676,24,186868411355494,,"2017-02-14 07:49:42.312818+00",,,
23,53197,"2015-01-01 05:00:00+00",Aegon,803,f,0,8809,316,196016973845253,,"2017-02-14 04:04:26.737807+00",,,
24,52782,"2015-01-01 05:00:00+00",8x8Inc,0,f,0,7969,119,112522535427411,,"2017-02-14 02:22:00.410458+00",,,
25,52619,"2015-01-01 05:00:00+00",aciworldwide,0,f,0,1489,22,165609733466405,,"2017-02-14 01:53:47.338141+00",,,
26,52971,"2015-01-01 05:00:00+00",northrimbank,159,f,159,385,25,91169683686,,"2017-02-14 03:11:14.700769+00",,,
27,52623,"2015-01-01 05:00:00+00",AddusHomeCare,163,f,0,1458,71,318386611585701,,"2017-02-14 01:54:09.924109+00",,,
28,53020,"2015-01-01 05:00:00+00",PrimoWaterCorp,62,f,62,35221,5,224010705343,,"2017-02-14 03:22:16.329338+00",,,
29,53106,"2015-01-01 05:00:00+00",seagate,0,f,0,625048,4530,27335728124,,"2017-02-14 03:39:03.405393+00",,,
30,53245,"2015-01-01 05:00:00+00",BrandywineRealtyTrust,10,f,10,1708,69,478120548872640,,"2017-02-14 04:15:44.152465+00",,,
31,53456,"2015-01-01 05:00:00+00",lightinthebox,462,f,0,3200608,105352,181245226552,,"2017-02-14 06:16:42.043149+00",,,
32,52845,"2015-01-01 05:00:00+00",myhorizonbank,122,f,122,12564,238,182660291756135,,"2017-02-14 02:40:04.810369+00",,,
33,52983,"2015-01-01 05:00:00+00",OCCSolutions,98,f,98,3121,11,69601271990,,"2017-02-14 03:14:18.269637+00",,,
34,53388,"2015-01-01 05:00:00+00",corningincorporated,1,f,0,14346,589,78148625096,,"2017-02-14 05:33:01.081857+00",,,
35,53308,"2015-01-01 05:00:00+00",capitalseniorliving,1,f,5747,960,4,232930673525239,,"2017-02-14 04:42:23.334801+00",,,
36,53659,"2015-01-01 05:00:00+00",exelis,55,f,55,4056,39,235551803141328,,"2017-02-14 08:18:33.409722+00",,,
37,53305,"2015-01-01 05:00:00+00",CarpenterTech,0,f,0,1776,114,103034073305,,"2017-02-14 04:39:59.291956+00",,,
38,52677,"2015-01-01 05:00:00+00",BuseyBank,89,f,0,12443,154,170837079633132,,"2017-02-14 02:01:03.457579+00",,,
39,53221,"2015-01-01 05:00:00+00",airproductscareers,43,f,0,2539,54,318074198248219,,"2017-02-14 04:09:25.347026+00",,,
40,53009,"2015-01-01 05:00:00+00",PHIinc,750,f,0,5845,12,129132297166974,,"2017-02-14 03:20:09.33114+00",,,
41,53102,"2015-01-01 05:00:00+00",stamps.com,99,f,0,104014,54,58491893393,,"2017-02-14 03:38:17.629495+00",,,
42,52933,"2015-01-01 05:00:00+00",Marchex,306,f,306,1260,36,114504345226737,,"2017-02-14 02:59:53.828894+00",,,
